   Alternatives         R Ranking
1             1 0.6186329       2
2             2 0.6131362       3
3             3 0.7461000       1
4             4 0.6118039       4
5             5 0.6087308       7
6             6 0.4704707      13
7             7 0.6040730       9
8             8 0.6073362       8
9             9 0.3723673      14
10           10 0.5954586      11
11           11 0.6018381      10
12           12 0.1921957      15
13           13 0.6087566       6
14           14 0.6106708       5
15           15 0.5265810      12
